Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-abh9,randomiser-stbs,order-rli1,order-ey94,order-zozi,order-ehv4,branch-bm4f,branch-kt5o,Randomise questionnaire elements?,Question Key,Response
3,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,Age-quantised,17
4,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,Gender,Male
5,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,Gender-quantised,1
6,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,seizures,1
8,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,device,1
9,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,consent,1
10,1.69121E+12,5/8/2023 4:16,1.69121E+12,-4,5/8/2023 0:16,140076,1,questionnaire-ob8q,,31062712,BLIND,9209766,,complete,cuyusc,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1269x621,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceB,,,CAB,CAB,elimination correct,distraction correct,No,END QUESTIONNAIRE,25217
1,1.69121E+12,5/8/2023 5:07,1.69121E+12,5.5,5/8/2023 10:37,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1707x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,BEGIN QUESTIONNAIRE,
2,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,Age,30
3,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,Age-quantised,14
4,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,Gender,Male
5,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,Gender-quantised,1
6,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,Gender-text,
7,1.69121E+12,5/8/2023 5:08,1.69121E+12,5.5,5/8/2023 10:38,140076,1,questionnaire-ob8q,,31063141,BLIND,9209811,,complete,osdnom,,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1686x773,,,,Consent + Demographic Qs,4,Accept young,CounterbalanceA,ABC,CAB,,,elimination correct,distraction correct,No,seizures,1
