"","PID","status","counterbalance","blockorderA1","blockorderA2","blockorderB2","blockorderB1","condition_1","Zone.Type","ratings","condition_2"
"8964",8177190,"complete","CounterbalanceB",NA,NA,"CAB","ABC","SingleNT_2","response_slider_endValue","-4","single 16"
"9260",8177190,"complete","CounterbalanceB",NA,NA,"CAB","ABC","SingleNT_2","response_slider_endValue","0","single 216"
"9334",8177230,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","2","single 16"
"9630",8177230,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","-9","single 216"
"9704",8177111,"complete","CounterbalanceB",NA,NA,"BCA","CAB","SingleNT_2","response_slider_endValue","7","single 16"
"10000",8177111,"complete","CounterbalanceB",NA,NA,"BCA","CAB","SingleNT_2","response_slider_endValue","-9","single 216"
"10298",8204854,"complete","CounterbalanceB",NA,NA,"CAB","CAB","SingleNT_2","response_slider_endValue","-10","single 216"
"10370",8204854,"complete","CounterbalanceB",NA,NA,"CAB","CAB","SingleNT_2","response_slider_endValue","1","single 16"
"10668",8177084,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","-4","single 216"
"10740",8177084,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","2","single 16"
"70",8177230,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","-5","single 16"
"3661",8177230,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","-9","single 216"
"664",8185697,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","4","single 216"
"736",8185697,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","7","single 16"
"1034",8211913,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","-8","single 216"
"1106",8211913,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","2","single 16"
"1180",8219174,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","8","single 16"
"1476",8219174,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","-3","single 216"
"1774",8213565,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","-7","single 216"
"1846",8213565,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","-4","single 16"
"2144",8212018,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","6","single 216"
"2216",8212018,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","4","single 16"
"2514",8212004,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","-6","single 216"
"2586",8212004,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","4","single 16"
"2884",8211957,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","1","single 216"
"2956",8211957,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","3","single 16"
"3254",8204854,"complete","CounterbalanceB",NA,NA,"CAB","CAB","SingleNT","response_slider_endValue","-7","single 216"
"3326",8204854,"complete","CounterbalanceB",NA,NA,"CAB","CAB","SingleNT","response_slider_endValue","1","single 16"
"3400",8204361,"complete","CounterbalanceB",NA,NA,"BCA","BCA","SingleNT","response_slider_endValue","-2","single 16"
"3696",8204361,"complete","CounterbalanceB",NA,NA,"BCA","BCA","SingleNT","response_slider_endValue","3","single 216"
"3994",8204029,"complete","CounterbalanceB",NA,NA,"ABC","ABC","SingleNT","response_slider_endValue","-4","single 216"
"4066",8204029,"complete","CounterbalanceB",NA,NA,"ABC","ABC","SingleNT","response_slider_endValue","7","single 16"
"4140",8203394,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","1","single 16"
"4436",8203394,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","-2","single 216"
"4510",8203415,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","7","single 16"
"4806",8203415,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-5","single 216"
"5104",8203381,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","0","single 216"
"5176",8203381,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","0","single 16"
"5250",8203372,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","2","single 16"
"5546",8203372,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-9","single 216"
"5844",8185751,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","8","single 216"
"5916",8185751,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","7","single 16"
"6214",8185527,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","5","single 216"
"6286",8185527,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","5","single 16"
"6584",8185507,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","-5","single 216"
"6656",8185507,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT","response_slider_endValue","10","single 16"
"6954",8185381,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","-9","single 216"
"7026",8185381,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","3","single 16"
"7100",8185386,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","1","single 16"
"7396",8185386,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-6","single 216"
"7694",8178858,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-5","single 216"
"7766",8178858,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","5","single 16"
"7840",8178022,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","6","single 16"
"8136",8178022,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT","response_slider_endValue","4","single 216"
"8210",8177488,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-2","single 16"
"8506",8177488,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","-9","single 216"
"8804",8177084,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","-6","single 216"
"8876",8177084,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT","response_slider_endValue","2","single 16"
"9174",8177190,"complete","CounterbalanceB",NA,NA,"CAB","ABC","SingleNT","response_slider_endValue","4","single 216"
"9246",8177190,"complete","CounterbalanceB",NA,NA,"CAB","ABC","SingleNT","response_slider_endValue","3","single 16"
"9544",8177111,"complete","CounterbalanceB",NA,NA,"BCA","CAB","SingleNT","response_slider_endValue","-9","single 216"
"9616",8177111,"complete","CounterbalanceB",NA,NA,"BCA","CAB","SingleNT","response_slider_endValue","3","single 16"
"9690",8213570,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT","response_slider_endValue","2","single 16"
